"Subject","Classmark"
"Accountancy","HF"
"Archaeology","CC"
"Botany","QK"
"Botany","S"
"Art","N"
"English","PE"
"English","PR"
"Marketing","HD"
"Marketing","HE"
"Marketing","HF"
"Physics","QB"
"History","D"
"Law","K"
